Stationsindex; Höhe in m;Breite   ;Länge    ;Name                                    ;Bundesland                        
         4978;       395;    50.64;    10.02;Tann/Rhön                               ;Hessen                            
         4997;       193;    50.98;    12.34;Starkenberg-Tegkwitz                    ;Thüringen                         
         5009;        38;    53.76;    12.56;Teterow                                 ;Mecklenburg-Vorpommern            
         5014;         7;    53.28;     8.99;Worpswede-Hüttenbusch                   ;Niedersachsen                     
         5017;       633;    50.40;    11.39;Teuschnitz                              ;Bayern                            
         5029;       386;    49.47;     7.04;Tholey                                  ;Saarland                          
         5046;       500;    49.86;    12.35;Tirschenreuth-Lodermühl                 ;Bayern                            
         5064;        37;    51.29;     6.44;Tönisvorst                              ;Nordrhein-Westfalen               
         5097;        10;    54.07;    12.77;Tribsees                                ;Mecklenburg-Vorpommern            
         5099;       132;    49.73;     6.61;Trier-Zewen                             ;Rheinland-Pfalz                   
         5100;       265;    49.75;     6.66;Trier-Petrisberg                        ;Rheinland-Pfalz                   
         5109;        69;    53.60;    13.30;Trollenhagen                            ;Mecklenburg-Vorpommern            
         5111;       559;    48.03;    12.54;Trostberg                               ;Bayern                            
         5133;       295;    51.33;     8.91;Twistetal-Mühlhausen                    ;Hessen                            
         5142;         1;    53.74;    14.07;Ueckermünde                             ;Mecklenburg-Vorpommern            
         5146;        50;    52.94;    10.53;Uelzen                                  ;Niedersachsen                     
         5149;       308;    49.57;    10.19;Gollhofen                               ;Bayern                            
         5158;       162;    52.16;    11.18;Ummendorf                               ;Sachsen-Anhalt                    
         5229;       720;    48.05;     8.46;Villingen-Schwenningen                  ;Baden-Württemberg                 
         5275;       105;    49.25;     8.54;Waghäusel-Kirrlach                      ;Baden-Württemberg                 
         5279;       176;    51.62;     9.58;Wahlsburg-Lippoldsberg                  ;Hessen                            
         5280;        35;    53.92;    10.23;Wittenborn                              ;Schleswig-Holstein                
         5300;       380;    50.26;     8.36;Waldems-Reinborn                        ;Hessen                            
         5335;       348;    50.90;    10.55;Waltershausen                           ;Thüringen                         
         5347;       236;    51.50;     9.11;Warburg                                 ;Nordrhein-Westfalen               
         5349;        73;    53.52;    12.67;Waren (Müritz)                          ;Mecklenburg-Vorpommern            
         5371;       921;    50.50;     9.94;Wasserkuppe                             ;Hessen                            
         5397;       440;    49.67;    12.18;Weiden                                  ;Bayern                            
         5404;       477;    48.40;    11.69;Weihenstephan-Dürnast                   ;Bayern                            
         5424;       325;    51.02;    11.35;Weimar-Schöndorf                        ;Thüringen                         
         5426;       553;    49.38;     8.12;Weinbiet                                ;Rheinland-Pfalz                   
         5433;       380;    49.55;     6.81;Weiskirchen/Saar                        ;Saarland                          
         5440;       439;    49.01;    10.93;Weißenburg-Emetzheim                    ;Bayern                            
         5480;        85;    51.58;     7.89;Werl                                    ;Nordrhein-Westfalen               
         5490;       234;    51.85;    10.77;Wernigerode                             ;Sachsen-Anhalt                    
         5516;         3;    54.53;    11.06;Fehmarn                                 ;Schleswig-Holstein                
         5538;       550;    47.88;    11.16;Wielenbach (Demollstr.)                 ;Bayern                            
         5541;       263;    50.13;     8.32;Wiesbaden-Auringen                      ;Hessen                            
         5546;       187;    52.12;    12.46;Wiesenburg                              ;Brandenburg                       
         5562;       570;    48.65;     8.68;Neubulach-Oberhaugstett                 ;Baden-Württemberg                 
         5629;       105;    51.89;    12.64;Wittenberg                              ;Sachsen-Anhalt                    
         5640;         8;    53.55;     7.67;Wittmundhafen                           ;Niedersachsen                     
         5643;        66;    53.19;    12.50;Wittstock-Rote Mühle                    ;Brandenburg                       
         5664;       291;    48.30;     8.24;Wolfach                                 ;Baden-Württemberg                 
         5676;        82;    52.40;    10.69;Wolfsburg (Südwest)                     ;Niedersachsen                     
         5692;        88;    49.61;     8.37;Worms                                   ;Rheinland-Pfalz                   
         5705;       268;    49.77;     9.96;Würzburg                                ;Bayern                            
         5715;        57;    52.46;     9.43;Wunstorf                                ;Niedersachsen                     
         5717;       130;    51.23;     7.11;Wuppertal-Buchenhofen                   ;Nordrhein-Westfalen               
         5731;       398;    47.68;     8.38;Wutöschingen-Ofteringen                 ;Baden-Württemberg                 
         5745;        51;    52.97;    13.33;Zehdenick                               ;Brandenburg                       
         5750;       170;    51.03;    12.15;Zeitz                                   ;Sachsen-Anhalt                    
         5779;       877;    50.73;    13.75;Zinnwald-Georgenfeld                    ;Sachsen                           
         5797;       353;    50.69;    12.43;Lichtentanne                            ;Sachsen                           
         5800;       615;    49.03;    13.24;Zwiesel                                 ;Bayern                            
         5822;        40;    52.86;     8.70;Bassum                                  ;Niedersachsen                     
         5825;        40;    52.62;    12.79;Berge                                   ;Brandenburg                       
         5839;         0;    53.39;     7.23;Emden                                   ;Niedersachsen                     
         5856;       476;    48.55;    13.35;Fürstenzell                             ;Bayern                            
         5871;       497;    49.95;     7.26;Hahn                                    ;Rheinland-Pfalz                   
         5906;        96;    49.51;     8.55;Mannheim                                ;Baden-Württemberg                 
         5930;         2;    54.64;    10.02;Schönhagen (Ostseebad)                  ;Schleswig-Holstein                
         5941;       685;    47.68;    12.47;Reit im Winkl                           ;Bayern                            
         6093;        62;    53.21;    10.47;Wendisch Evern                          ;Niedersachsen                     
         6105;        14;    54.32;     9.81;Ostenfeld (Rendsburg)                   ;Schleswig-Holstein                
         6109;        50;    53.38;    14.37;Grambow-Schwennenz                      ;Mecklenburg-Vorpommern            
         6129;       290;    51.06;    14.43;Sohland/Spree                           ;Sachsen                           
         6157;         8;    53.64;     8.08;Wangerland-Hooksiel                     ;Niedersachsen                     
         6158;       455;    49.23;    10.61;Weidenbach-Weiherschneidbach            ;Bayern                            
         6159;         8;    52.95;     7.32;Dörpen                                  ;Niedersachsen                     
         6163;        26;    54.17;    10.35;Dörnick                                 ;Schleswig-Holstein                
         6170;        40;    52.02;    14.73;Coschen                                 ;Brandenburg                       
         6186;       268;    50.20;     7.87;Nastätten                               ;Rheinland-Pfalz                   
         6197;       258;    51.87;     9.27;Lügde-Paenbruch                         ;Nordrhein-Westfalen               
         6199;        16;    54.25;    13.04;Steinhagen-Negast                       ;Mecklenburg-Vorpommern            
         6217;       190;    49.24;     6.94;Saarbrücken-Burbach                     ;Saarland                          
         6258;       459;    47.68;     9.44;Friedrichshafen-Unterraderach           ;Baden-Württemberg                 
         6259;       523;    49.02;     9.60;Großerlach-Mannenweiler                 ;Baden-Württemberg                 
         6260;       385;    49.33;     9.70;Ingelfingen-Stachenhausen               ;Baden-Württemberg                 
         6262;       413;    48.77;     9.87;Schwäbisch Gmünd-Weiler                 ;Baden-Württemberg                 
         6263;       445;    47.77;     8.82;Singen                                  ;Baden-Württemberg                 
         6264;       457;    51.41;     8.65;Brilon-Thülen                           ;Nordrhein-Westfalen               
         6265;        36;    52.36;    12.39;Wusterwitz                              ;Brandenburg                       
         6266;       112;    52.03;    10.96;Pabstorf                                ;Sachsen-Anhalt                    
         6272;       283;    50.84;    10.25;Moorgrund Gräfen-Nitzendorf             ;Thüringen                         
         6273;        36;    52.51;    11.86;Demker                                  ;Sachsen-Anhalt                    
         6275;       325;    48.67;     9.46;Notzingen                               ;Baden-Württemberg                 
         6305;       190;    51.21;    10.50;Mühlhausen/Thüringen-Görmar             ;Thüringen                         
         6310;         1;    54.11;    13.82;Karlshagen                              ;Mecklenburg-Vorpommern            
         6312;       362;    49.53;    10.64;Markt Erlbach-Mosbach                   ;Bayern                            
         6314;       308;    51.05;    13.30;Nossen                                  ;Sachsen                           
         6336;       285;    50.01;     9.65;Lohr/Main-Halsbach                      ;Bayern                            
         6337;        59;    51.77;     7.52;Lüdinghausen-Brochtrup                  ;Nordrhein-Westfalen               
         6344;       168;    50.39;     8.14;Runkel-Ennerich                         ;Hessen                            
         6346;       530;    48.21;    11.20;Maisach-Galgen                          ;Bayern                            
         6347;       304;    50.06;    10.30;Schonungen-Mainberg                     ;Bayern                            
         7075;       425;    48.70;    11.85;Elsendorf-Horneck                       ;Bayern                            
         7099;       187;    52.01;    10.40;Liebenburg-Othfresen                    ;Niedersachsen                     
         7105;       721;    47.84;    12.66;Siegsdorf-Höll                          ;Bayern                            
         7106;       105;    52.07;     8.46;Bielefeld-Deppendorf                    ;Nordrhein-Westfalen               
         7187;       193;    49.76;     9.41;Freudenberg/Main-Boxtal                 ;Baden-Württemberg                 
         7298;         5;    54.53;     9.04;Hattstedt                               ;Schleswig-Holstein                
         7319;       434;    48.74;    10.74;Donauwörth-Osterweiler                  ;Bayern                            
         7321;       160;    51.15;    11.33;Olbersleben                             ;Thüringen                         
         7329;       465;    50.55;    12.29;Treuen                                  ;Sachsen                           
         7330;       159;    51.46;     7.98;Arnsberg-Neheim                         ;Nordrhein-Westfalen               
         7331;       468;    48.61;    10.27;Hermaringen-Allewind                    ;Baden-Württemberg                 
         7340;        84;    50.37;     7.58;Koblenz (Falckensteinkaserne)           ;Rheinland-Pfalz                   
         7341;       119;    50.09;     8.79;Offenbach-Wetterpark                    ;Hessen                            
         7343;       688;    50.62;    13.48;Deutschneudorf-Brüderwiese              ;Sachsen                           
         7350;       588;    49.11;    12.82;Prackenbach-Neuhäusl                    ;Bayern                            
         7351;       115;    53.32;    13.42;Feldberg/Mecklenburg                    ;Mecklenburg-Vorpommern            
         7364;        74;    51.68;    12.30;Jeßnitz                                 ;Sachsen-Anhalt                    
         7367;       144;    51.96;     9.81;Alfeld                                  ;Niedersachsen                     
         7368;       312;    51.00;    10.36;Eisenach                                ;Thüringen                         
         7369;       475;    49.16;    10.37;Feuchtwangen-Heilbronn                  ;Bayern                            
         7370;       499;    49.39;    12.68;Waldmünchen                             ;Bayern                            
         7373;         3;    53.60;     6.70;Borkum-Flugplatz                        ;Niedersachsen                     
         7374;        46;    52.08;     6.94;Ahaus                                   ;Nordrhein-Westfalen               
         7389;        82;    52.75;    13.84;Heckelberg                              ;Brandenburg                       
         7393;       116;    51.45;    14.25;Hoyerswerda                             ;Sachsen                           
         7394;       622;    50.03;    11.97;Wunsiedel-Schönbrunn                    ;Bayern                            
         7395;       350;    48.66;    12.54;Gottfrieding                            ;Bayern                            
         7396;       743;    50.51;     9.22;Hoherodskopf/Vogelsberg                 ;Hessen                            
         7403;       672;    47.80;    10.03;Leutkirch-Herlazhofen                   ;Baden-Württemberg                 
         7410;       350;    50.75;     9.02;Neu-Ulrichstein                         ;Hessen                            
         7412;       340;    50.01;     9.42;Neuhütten/Spessart                      ;Bayern                            
         7419;       390;    50.66;    12.08;Langenwetzendorf-Göttendorf             ;Thüringen                         
         7420;       246;    51.10;    11.71;Naumburg/Saale-Kreipitzsch              ;Sachsen-Anhalt                    
         7424;       458;    47.77;    12.91;Piding                                  ;Bayern                            
         7427;        17;    54.02;     9.93;Padenstedt (Pony-Park)                  ;Schleswig-Holstein                
         7428;       397;    50.42;    10.82;Veilsdorf                               ;Thüringen                         
         7431;       604;    48.01;    11.55;Oberhaching-Laufzorn                    ;Bayern                            
         7432;        72;    52.64;    10.66;Wittingen-Vorhop                        ;Niedersachsen                     
        13670;        25;    51.51;     6.70;Duisburg-Baerl                          ;Nordrhein-Westfalen               
        13674;       237;    49.29;     8.91;Waibstadt                               ;Baden-Württemberg                 
        13675;        77;    52.08;     9.41;Hameln-Hastenbeck                       ;Niedersachsen                     
        13696;        68;    51.60;     7.41;Waltrop-Abdinghof                       ;Nordrhein-Westfalen               
        13700;       205;    51.33;     7.34;Gevelsberg-Oberbröking                  ;Nordrhein-Westfalen               
        13710;       490;    48.57;    12.26;Landshut-Reithof                        ;Bayern                            
        13711;       280;    50.68;    11.52;Krölpa-Rockendorf                       ;Thüringen                         
        13713;       380;    51.09;     7.63;Meinerzhagen-Redlendorf                 ;Nordrhein-Westfalen               
        13777;       110;    52.25;    10.96;Helmstedt-Emmerstedt                    ;Niedersachsen                     
        13965;       619;    48.26;     8.81;Balingen-Bronnhaupten                   ;Baden-Württemberg                 
        15000;       231;    50.80;     6.02;Aachen-Orsbach                          ;Nordrhein-Westfalen               
        15207;       317;    51.28;     9.36;Schauenburg-Elgershausen                ;Hessen                            
        15444;       593;    48.44;     9.92;Ulm-Mähringen                           ;Baden-Württemberg                 
